title,year,genre,country,imdbRating,imdbVotes
Phantom,2013,"History, Thriller, War",USA,5.8,10971
Young Adam,2003,"Crime, Drama","UK, France",6.5,10971
"To Sir, with Love",1967,Drama,UK,7.7,10977
The Ghost and Mrs. Muir,1947,"Drama, Fantasy, Mystery",USA,7.9,10979
Paulie,1998,"Adventure, Comedy, Drama",USA,6.4,10983
The Tiger and the Snow,2005,"Comedy, Drama, Romance",Italy,7.2,10989
The Apartment,1996,"Drama, Mystery, Romance","France, Spain, Italy",7.6,10989
Jesus of Nazareth,1977,"Biography, Drama, History","Italy, UK",8.7,10997
The Myth,2005,"Action, Adventure, Comedy","Hong Kong, China",6.1,11000
Eddie Murphy: Delirious,1983,"Documentary, Comedy",USA,8.3,11005
Paulie,1998,"Adventure, Comedy, Drama",USA,6.4,11009
Sugar & Spice,2001,"Comedy, Crime",USA,5.6,11011
Love Loves Coincidences,2011,"Drama, Romance",Turkey,7.4,11011
Intacto,2001,"Thriller, Drama",Spain,6.9,11013
Ordinary Decent Criminal,2000,"Comedy, Crime","UK, Germany, Ireland, USA",6.4,11014
Who Killed the Electric Car?,2006,Documentary,USA,7.7,11017
Children of a Lesser God,1986,"Drama, Romance",USA,7.2,11018
Earthlings,2005,"Documentary, Horror",USA,8.7,11020
Simply Irresistible,1999,"Comedy, Drama, Fantasy","Germany, USA",5.2,11023
The Company of Wolves,1984,"Horror, Fantasy",UK,6.8,11026
River's Edge,1986,"Crime, Drama",USA,7.1,11027
Gold,2018,"Drama, History, Sport",India,7.3,11028
The Castle,1997,Comedy,Australia,7.8,11035
Love and Other Disasters,2006,"Comedy, Romance","France, UK",6.3,11038
Two Brothers,2004,"Adventure, Drama, Family","France, UK",7.1,11043
Evangelion: 1.0: You Are (Not) Alone,2007,"Animation, Action, Drama",Japan,7.8,11049
Atlas Shrugged: Part I,2011,"Drama, Mystery, Sci-Fi",USA,5.8,11051
Cecil B. DeMented,2000,"Comedy, Crime, Thriller","France, USA",6.2,11054
Shivers,1975,"Horror, Sci-Fi",Canada,6.6,11062
Batman and Harley Quinn,2017,"Animation, Action, Adventure",USA,5.9,11064
Alone,2008,"Drama, Romance",Turkey,6.9,11064
Richard III,1995,"Drama, War","UK, USA",7.5,11065
Possession,1981,"Drama, Horror","France, West Germany",7.3,11076
La famiglia Willoughby,2020,"Animation, Adventure, Comedy","Canada, USA, UK",6.4,11080
Inferno,1980,"Horror, Mystery",Italy,6.7,11085
Bottle Shock,2008,"Comedy, Drama",USA,6.8,11089
New Kids Turbo,2010,"Action, Comedy",Netherlands,6.4,11091
Facing the Giants,2006,"Drama, Sport",USA,6.6,11093
The Bird with the Crystal Plumage,1970,"Mystery, Thriller","Italy, West Germany",7.2,11093
She Wore a Yellow Ribbon,1949,"Drama, Romance, Western",USA,7.4,11103
Raat Akeli Hai,2020,"Crime, Drama, Mystery",India,7.3,11110
Something Wild,1986,"Comedy, Crime, Romance",USA,6.8,11111
A Short Film About Love,1988,"Drama, Romance",Poland,8.3,11111
Auto Focus,2002,"Biography, Crime, Drama",USA,6.6,11116
Life After Beth,2014,"Comedy, Drama, Horror",USA,5.7,11120
Damage,1992,"Drama, Romance","UK, France",6.9,11121
TPB AFK: The Pirate Bay Away from Keyboard,2013,Documentary,"Sweden, Denmark, Norway, UK, Netherlands, Germany",7.6,11121
Guru,2007,"Biography, Drama, Musical",India,7.8,11123
The Lucky Ones,2008,"Comedy, Drama, War",USA,7,11125
Grand Piano,2013,"Music, Mystery, Thriller",Spain,5.9,11129
The Crush,1993,"Drama, Romance, Thriller",USA,5.6,11130
Baadshah,1999,"Action, Comedy, Musical",India,6.9,11132
Tin Man,2007,"Adventure, Fantasy, Sci-Fi",USA,7.2,11134
Free to Play,2014,Documentary,USA,8.3,11137
The Dark Half,1993,"Horror, Mystery",USA,5.9,11140
Return to Paradise,1998,"Drama, Romance, Thriller",USA,6.9,11141
Monty Python Live at the Hollywood Bowl,1982,"Documentary, Comedy",UK,7.9,11141
Little Big Soldier,2010,"Action, Adventure, Comedy","China, Hong Kong",7,11143
Lifted,2006,"Animation, Short, Family",USA,8,11143
Italian for Beginners,2000,"Comedy, Drama, Romance","Denmark, Sweden",7.1,11145
Rocket Science,2007,"Comedy, Drama",USA,6.7,11147
Tanu Weds Manu Returns,2015,"Comedy, Drama, Romance",India,8,11154
Ali: Fear Eats the Soul,1974,Drama,West Germany,8.1,11157
L'angelo,2018,"Drama, Thriller","Israel, USA",6.6,11162
Death Warrant,1990,"Action, Crime, Mystery","Canada, USA",5.6,11163
Dov'è la tua casa?,2020,"Adventure, Drama, Thriller",Spain,6.3,11175
Undead,2003,"Action, Comedy, Horror",Australia,5.5,11177
2 Days in New York,2012,"Comedy, Drama, Romance","France, Germany, Belgium",6,11179
